Well,Total.Motility,Worm.Area,Normalized.Motility
A01,427280.597986259,997,428.5662968768896
A02,2311851.7029192257,497,4651.613084344518
A03,476441.05149655207,247,1928.911139662154
A04,2213659.6116440184,1127,1964.205511662838
A05,1619070.2980130208,980,1652.1125489928784
A06,501791.4055375336,200,2508.957027687668
B01,2392443.5097187757,1052,2274.185845740281
B02,1476806.2375146442,884,1670.5952913061585
B03,1677279.305241403,1806,928.7260826364358
B04,2549237.7257729294,1308,1948.9585059426065
B06,3248833.4989816397,987,3291.624619029017
C01,1808378.0112955484,1591,1136.6297996829342
C02,2995589.140677353,1443,2075.945350434756
C03,1325825.8584090206,2546,520.7485696814692
C04,3830667.4078558045,1492,2567.471452986464
C06,5360285.00047195,1039,5159.080847422473
D01,6910798.293409508,881,7844.2659403059115
D02,952428.5116229634,1333,714.5000087194023
D03,2218594.969801844,920,2411.5162715237434
D04,2997442.2690533856,1053,2846.5738547515534
D06,5116978.641437853,1540,3322.7134035310733
